"","AS_3rd_LPS_7B4_IL10R_32_cont6_48h_6.normalized","AS_3rd_LPS_7B4_IL10R_38_cont2_48h_2.normalized","AS_3rd_LPS_7B4_IL10R_42_cont3_48h_3.normalized","AS_3rd_LPS_7B4_IL10R_46_cont4_48h_4.normalized","AS_3rd_LPS_7B4_IL10R_54_cont5_48h_5.normalized","AS_3rd_LPS_7B4_IL10R_10_mut3_48h_3.normalized","AS_3rd_LPS_7B4_IL10R_48_mut1_48h_1.normalized","AS_3rd_LPS_7B4_IL10R_8_mut2_48h_2.normalized"
"Fam117a",18,12,23,14,14,4,1,8
"Fam117b",24,32,21,33,26,40,20,22
"Fam118a",6,15,11,12,9,13,17,18
"Fam118b",15,19,31,27,17,15,14,13
"Fam120a",76,61,67,79,89,89,96,99
"Fam120b",11,7,5,12,5,2,1,2
"Fam122a",54,43,38,48,47,63,54,53
"Fam122b",11,5,2,2,6,6,12,4
"Fam126a",63,54,29,48,37,51,36,38
"Fam126b",28,21,17,26,30,44,62,32
"Fam129a",32,40,39,52,44,35,17,15
"Fam129b",21,26,32,12,21,72,45,61
"Fam129c",5,6,7,12,6,3,2,1
"Fam131a",17,22,17,17,15,12,5,8
"Fam133b",14,17,19,17,22,20,26,30
"Fam135a",18,6,11,17,8,11,12,15
"Fam136a",13,6,8,9,14,4,11,17
"Fam13a",1,2,2,3,3,3,1,1
"Fam13b",14,20,9,14,12,19,33,21
"Fam149a",15,9,13,10,13,16,20,15
"Fam149b",21,31,33,25,30,26,15,21
"Fam151b",8,8,11,9,8,8,16,8
"Fam160a2",40,45,53,57,34,32,6,21
"Fam160b1",42,41,41,44,49,44,37,38
"Fam160b2",29,46,29,29,34,40,37,30
"Fam161a",1,2,3,7,3,2,4,4
"Fam162a",65,54,45,41,57,29,9,30
"Fam167b",95,105,125,117,105,8,6,12
"Fam168a",65,90,65,90,90,69,69,98
"Fam168b",83,135,115,102,73,93,98,89
"Fam171a1",1,0,1,4,1,1,1,0
"Fam172a",38,53,32,43,37,53,61,55
"Fam173a",198,184,219,242,211,93,48,85
"Fam173b",32,56,40,37,29,19,21,30
"Fam174a",52,70,61,63,61,59,31,54
"Fam178b",3,4,3,1,1,2,54,15
"Fam185a",18,6,3,6,6,8,7,7
"Fam189b",7,7,4,8,5,6,4,0
"Fam192a",33,32,43,42,24,29,37,35
"Fam193a",37,66,49,59,54,58,44,32
"Fam193b",53,84,76,80,51,29,19,25
"Fam204a",17,9,8,7,6,11,12,14
"Fam206a",14,12,17,19,15,16,20,17
"Fam207a",59,61,53,41,48,77,100,82
"Fam208a",13,9,5,12,17,15,12,16
"Fam208b",11,15,8,10,13,20,21,14
"Fam209",2,3,4,2,3,4,12,5
"Fam20b",56,37,44,44,70,35,37,44
"Fam20c",15,13,23,11,24,19,13,22
"Fam210a",4,1,0,2,3,2,4,2
"Fam210b",10,12,4,13,6,18,18,14
"Fam212a",77,82,111,71,94,73,62,62
"Fam213a",6,3,6,9,6,2,2,3
"Fam213b",45,64,65,58,66,23,13,25
