"","AS_3rd_LPS_7B4_IL10R_32_cont6_48h_6.normalized","AS_3rd_LPS_7B4_IL10R_38_cont2_48h_2.normalized","AS_3rd_LPS_7B4_IL10R_42_cont3_48h_3.normalized","AS_3rd_LPS_7B4_IL10R_46_cont4_48h_4.normalized","AS_3rd_LPS_7B4_IL10R_54_cont5_48h_5.normalized","AS_3rd_LPS_7B4_IL10R_10_mut3_48h_3.normalized","AS_3rd_LPS_7B4_IL10R_48_mut1_48h_1.normalized","AS_3rd_LPS_7B4_IL10R_8_mut2_48h_2.normalized"
"Lncpint",0,0,0,1,0,0,0,0
"Lnpep",5,3,5,5,6,3,5,4
"Lnpk",14,14,11,11,16,11,28,16
"Lnx1",1,1,1,1,0,0,3,1
"Lnx2",9,9,7,3,8,8,9,9
"Lonp1",105,84,88,82,91,144,178,160
"Lonp2",40,42,34,29,48,26,45,34
"Lonrf1",13,9,6,6,14,17,14,14
"Lonrf3",5,2,7,0,5,0,4,1
"Lox",0,1,1,1,3,0,6,3
"Loxl3",11,6,7,7,13,2,2,1
"Lpar2",0,0,0,0,0,1,5,1
"Lpcat1",383,406,251,347,239,231,296,276
"Lpcat2",937,848,1106,989,887,335,366,455
"Lpcat3",224,228,246,298,239,222,174,180
"Lpcat4",0,0,1,2,0,0,2,0
"Lpgat1",18,18,28,27,19,20,20,18
"Lpin1",71,63,80,95,55,52,37,26
"Lpin2",233,170,180,220,182,98,106,92
"Lpl",20,13,7,6,14,17,41,18
"Lpp",8,5,4,6,6,11,6,10
"Lpxn",73,91,100,103,51,94,218,79
"Lrba",12,5,4,7,11,9,49,15
"Lrch1",21,22,28,36,25,14,15,11
"Lrch3",76,61,99,70,71,60,79,60
"Lrch4",175,182,135,157,182,181,241,170
"Lrfn1",11,17,14,10,8,5,3,4
"Lrfn3",5,6,7,6,6,5,2,2
"Lrfn4",0,1,2,0,3,0,9,2
"Lrg1",94,101,129,179,115,175,30,75
"Lrguk",8,2,9,4,4,4,5,2
"Lrif1",34,25,14,32,30,52,73,59
"Lrig2",24,25,18,28,24,24,14,15
"Lrig3",13,9,10,7,6,7,6,8
"Lrmda",28,33,34,32,28,13,6,15
"Lrmp",85,110,102,107,68,89,64,66
"Lrp1",715,1025,923,886,798,960,900,638
"Lrp10",4,0,5,4,2,5,2,3
"Lrp11",6,2,3,2,5,3,12,9
"Lrp12",14,16,22,11,14,18,14,16
"Lrp4",9,4,8,5,6,11,20,12
"Lrp5",37,56,63,57,57,33,17,27
"Lrp6",18,27,25,20,18,17,19,23
"Lrpap1",210,214,223,251,215,204,141,193
"Lrpprc",75,61,73,56,59,46,47,57
"Lrr1",3,0,2,2,6,0,1,0
"Lrrc1",2,1,2,1,0,1,1,2
"Lrrc14",19,30,38,26,17,22,28,23
"Lrrc20",15,13,14,9,11,8,3,5
"Lrrc24",12,23,20,19,12,26,21,26
"Lrrc25",198,241,182,223,146,211,361,395
"Lrrc27",1,4,2,8,1,3,2,0
"Lrrc28",8,4,6,8,6,11,7,6
"Lrrc29",4,2,3,3,3,3,10,6
"Lrrc3",79,84,127,112,99,60,22,18
"Lrrc4",24,24,24,12,20,4,11,25
"Lrrc40",17,10,19,17,17,14,15,24
"Lrrc41",14,20,23,14,11,18,20,16
"Lrrc42",5,10,14,10,5,6,6,9
"Lrrc45",82,115,117,107,94,39,43,41
"Lrrc47",57,47,52,45,47,62,72,55
"Lrrc49",2,2,2,0,1,1,6,2
"Lrrc51",3,4,4,5,3,1,0,1
"Lrrc56",10,19,17,21,7,6,6,4
"Lrrc57",19,15,18,21,15,22,27,22
"Lrrc58",10,7,5,11,9,6,18,14
"Lrrc59",50,61,58,55,54,73,96,98
"Lrrc61",18,13,17,22,22,3,4,9
"Lrrc75a",21,17,17,15,21,18,3,10
"Lrrc8a",65,62,64,62,61,88,50,53
"Lrrc8b",7,1,2,1,4,8,8,5
"Lrrc8c",2,1,1,2,4,2,1,3
"Lrrc8d",61,53,80,69,46,87,74,83
"Lrrcc1",38,23,23,31,39,20,30,30
"Lrrfip1",88,82,122,106,114,187,188,190
"Lrrfip2",41,32,35,19,37,42,60,52
"Lrrk1",144,161,177,191,148,147,167,132
"Lrsam1",36,28,39,32,41,32,14,12
"Lrwd1",21,48,35,47,36,42,29,25
"Lsg1",55,76,53,57,65,79,101,95
"Lsm1",2,6,2,2,3,3,3,2
"Lsm10",19,25,42,30,26,22,12,14
"Lsm11",13,6,8,7,10,6,11,6
"Lsm12",47,30,26,22,31,44,58,47
"Lsm14a",77,78,82,58,63,68,67,71
"Lsm14b",18,24,18,18,19,16,19,25
"Lsm2",30,27,29,15,37,42,42,54
"Lsm3",12,6,6,7,6,9,14,13
"Lsm4",178,180,210,203,196,229,146,201
"Lsm6",93,76,86,95,91,101,60,120
"Lsm7",21,23,12,8,20,15,30,29
"Lsm8",34,30,24,14,33,22,32,40
"Lsp1",48,81,59,66,38,208,67,63
"Lss",5,3,8,2,2,9,8,9
"Lst1",141,116,159,204,249,16,11,18
"Lta",1,13,0,0,1,0,1,1
"Lta4h",47,34,41,42,43,45,37,42
"Ltb",7,8,14,4,11,3,11,5
"Ltb4r1",2,2,4,3,3,9,1,10
"Ltbp3",2,2,4,5,4,2,4,1
"Ltbr",361,334,304,300,306,308,392,371
"Ltc4s",468,304,452,669,750,1318,218,420
"Ltf",0,0,0,0,0,11,0,21
"Ltn1",13,13,11,5,17,6,7,12
"Ltv1",36,33,32,37,43,67,77,77
"Luc7l",81,72,76,56,62,58,77,68
"Luc7l2",225,121,107,187,229,120,136,136
"Luc7l3",200,147,103,161,216,149,195,205
"Luzp1",21,28,29,22,16,44,70,34
"Lxn",14,20,23,28,26,5,8,6
"Ly6a",46,17,74,50,142,30,5,40
"Ly6c2",2,1,2,1,0,14,1,18
"Ly6e",4532,2981,5520,5244,6343,2962,1163,2584
"Ly6g5b",1,3,2,2,0,6,4,3
"Ly6g6d",5,3,6,9,5,2,1,1
"Ly6g6e",25,18,27,36,32,2,0,0
"Ly6h",1,1,2,0,0,3,5,1
"Ly6i",24,13,29,28,27,24,21,53
"Ly6k",5,3,13,12,35,9,6,6
"Ly86",2682,1624,2285,2189,3910,2001,1239,1876
"Ly9",56,50,61,52,56,16,19,23
"Ly96",11,20,8,18,17,13,13,8
"Lyar",44,31,47,32,41,34,56,40
"Lyl1",260,195,286,300,363,284,93,143
"Lyn",311,347,366,367,357,288,430,424
"Lynx1",1,0,0,0,1,3,1,2
"Lypd6",6,3,5,4,6,2,2,1
"Lypd8",2,4,1,1,0,2,0,1
"Lypla1",31,28,41,30,25,28,33,36
"Lypla2",111,158,171,107,109,208,187,167
"Lyplal1",8,2,10,13,9,1,1,3
"Lyrm1",6,2,8,4,10,5,3,2
"Lyrm2",26,20,15,22,19,14,21,19
"Lyrm9",17,13,14,11,6,5,6,9
"Lysmd1",8,9,12,4,8,2,5,6
"Lysmd3",7,11,5,7,11,15,5,6
"Lysmd4",5,13,6,6,9,2,6,6
"Lyst",50,49,50,49,37,47,28,38
"Lyz2",991,1062,1226,1159,949,578,409,587
"Lyzl4",3,7,8,3,5,2,1,1
"Lzic",21,13,13,15,17,18,22,19
"Lztfl1",13,9,6,13,13,8,13,11
"Lztr1",53,72,58,53,48,58,54,55
"Lzts1",0,0,5,1,0,0,1,0
"Lzts2",5,2,10,2,8,5,5,6
"Lzts3",7,8,18,10,15,4,7,7
"M1ap",2,4,3,4,1,4,14,6
"M6pr",363,413,454,344,383,361,610,548
"Macf1",174,251,252,251,170,150,170,116
"Macrod1",10,7,13,12,13,0,0,3
"Mad1l1",8,11,9,11,7,15,4,7
"Mad2l1",3,5,8,6,12,3,4,5
"Mad2l1bp",34,23,32,29,20,39,34,22
"Mad2l2",74,63,70,48,67,118,114,91
"Madcam1",0,3,2,2,0,3,3,1
"Madd",149,161,106,147,136,40,37,46
"Maea",68,98,111,97,74,94,84,85
"Maf",85,98,67,97,104,121,180,136
"Maf1",101,91,114,116,80,87,66,61
"Mafb",594,506,548,577,631,494,370,525
"Maff",2,2,8,1,1,5,4,9
"Mafg",102,191,162,152,150,129,138,128
"Mafk",9,9,7,17,4,23,18,18
"Mag",35,37,28,38,47,49,28,50
"Maged1",16,37,46,43,31,16,18,18
"Maged2",23,20,30,25,28,7,7,10
"Magee1",2,3,3,6,3,6,4,4
"Mageh1",1,1,2,2,2,0,1,2
"Magi1",14,15,23,21,33,26,13,17
"Magi3",10,9,6,9,6,3,3,2
"Magoh",22,19,10,23,28,37,29,42
"Magohb",16,11,18,9,11,34,27,38
"Magt1",108,87,67,81,114,47,29,71
"Maip1",5,3,2,2,3,3,2,2
"Mak16",40,27,23,27,24,51,98,73
"Malat1",759,583,358,500,467,491,465,606
"Malsu1",82,95,74,100,72,102,107,110
"Malt1",25,29,32,30,28,20,75,47
"Mamdc4",9,5,8,3,8,4,2,5
"Maml1",25,34,21,39,20,23,34,23
"Maml2",37,48,37,61,56,50,31,34
"Maml3",7,6,3,7,4,8,4,6
"Mamld1",1,0,1,1,0,0,1,2
"Man1a",147,151,129,186,212,104,97,102
"Man1a2",45,46,27,57,59,41,33,47
"Man1b1",89,84,78,82,94,59,55,63
"Man1c1",35,80,98,67,68,30,6,17
"Man2a1",43,52,47,67,44,128,101,112
"Man2a2",72,61,59,105,72,50,22,29
"Man2b1",1701,2026,1978,2228,1878,1052,586,767
"Man2b2",19,21,28,30,27,32,11,12
"Man2c1",98,147,146,132,106,119,132,106
"Man2c1os",2,3,2,3,0,0,2,3
"Manba",68,70,87,81,61,66,50,51
"Manbal",65,60,74,79,65,80,103,81
"Manea",25,17,16,21,27,19,16,18
"Manf",270,485,578,424,305,224,136,190
"Map10",2,8,7,3,6,7,14,7
"Map1a",0,2,2,0,1,1,3,2
"Map1b",3,2,4,3,2,1,4,1
"Map1lc3a",40,30,41,46,47,73,38,28
"Map1lc3b",110,101,129,124,107,116,81,78
"Map1s",87,139,125,107,118,62,58,66
"Map2k1",98,103,129,110,113,77,81,94
"Map2k2",253,241,245,235,327,177,187,217
"Map2k3",45,44,52,40,41,42,45,37
"Map2k3os",7,7,8,7,9,4,5,7
"Map2k4",39,40,41,36,36,45,34,39
"Map2k5",43,46,39,35,43,57,45,39
"Map2k6",5,2,4,4,6,3,1,1
"Map2k7",42,53,43,52,42,58,81,80
"Map3k1",17,20,19,22,25,25,15,14
"Map3k10",19,28,27,29,24,12,13,15
"Map3k11",72,71,53,53,83,81,75,75
"Map3k12",23,9,12,20,14,4,2,2
"Map3k14",63,89,81,58,79,65,45,39
"Map3k15",16,14,10,13,10,23,21,10
"Map3k2",18,10,6,13,15,8,11,14
"Map3k20",5,3,6,4,9,9,13,13
"Map3k3",119,158,95,184,92,101,69,85
"Map3k4",28,30,34,22,24,16,21,21
"Map3k5",34,41,35,44,60,37,24,18
"Map3k6",13,20,14,20,8,258,229,164
"Map3k7",38,50,40,37,47,20,27,23
"Map3k8",162,113,141,120,122,132,231,168
"Map3k9",8,2,3,6,6,7,7,6
"Map4",104,81,119,87,122,86,106,79
"Map4k1",8,2,11,7,4,3,8,5
"Map4k2",53,68,65,64,62,36,19,15
"Map4k3",17,20,22,22,20,18,19,13
"Map4k4",174,129,144,175,170,193,144,153
"Map4k5",25,23,14,18,22,19,27,26
"Map7",11,6,9,15,14,14,9,13
"Map7d1",175,247,194,165,177,215,264,240
"Map7d3",4,2,5,0,4,1,4,5
"Mapk1",38,25,32,28,39,37,35,40
"Mapk13",2,1,0,1,1,3,5,4
"Mapk14",143,165,158,188,124,136,96,101
"Mapk15",0,0,0,1,1,1,2,2
"Mapk1ip1",72,67,72,77,68,54,39,60
"Mapk1ip1l",12,12,13,6,11,12,13,18
"Mapk3",286,295,304,299,385,268,183,196
"Mapk6",11,17,13,12,7,10,27,19
"Mapk7",21,59,39,42,32,36,44,38
"Mapk8",19,6,6,7,15,17,35,18
"Mapk8ip1",2,2,1,2,2,2,1,2
"Mapk8ip3",95,140,123,113,101,85,114,85
"Mapk9",32,32,32,37,37,33,36,32
"Mapkap1",48,39,44,39,26,25,20,28
"Mapkapk2",265,306,284,198,242,375,816,566
"Mapkapk3",24,20,34,24,26,37,68,28
"Mapkapk5",69,80,59,56,71,80,97,82
"Mapkbp1",16,16,17,21,12,16,23,16
"Mapre1",19,17,24,21,17,18,25,28
"Mapre2",46,65,62,55,46,63,52,52
"Mapre3",7,9,11,11,11,10,6,4
"Mar-02",151,206,195,198,164,126,92,133
"Mar-01",158,128,74,141,192,176,362,300
"Mar-02.1",58,75,63,52,45,49,47,46
"Mar-03",1,2,0,2,1,2,2,1
"Mar-05",102,114,146,108,151,105,153,132
"Mar-06",43,39,37,54,48,26,19,36
"Mar-07",122,110,75,114,111,100,110,100
"Mar-08",24,27,38,32,30,29,43,35
"Marcks",227,102,88,152,292,162,207,165
"Marcksl1",47,128,147,53,52,47,58,101
"Marco",405,482,161,422,123,179,3722,2383
"Marf1",10,13,22,19,17,7,7,8
"Mark2",143,159,133,146,172,165,133,150
"Mark3",146,130,89,117,106,122,150,160
"Mark4",42,26,38,42,40,49,56,47
"Mars",130,148,97,85,111,88,58,106
"Mars2",2,0,0,1,2,2,7,5
"Marveld1",3,2,1,2,4,0,6,1
"Marveld2",14,6,12,12,8,12,5,10
"Mast2",31,50,41,41,43,36,37,41
"Mast3",202,198,198,221,172,265,199,199
"Mast4",7,7,5,6,4,2,3,2
"Mat2a",239,165,166,152,194,308,504,585
"Mat2b",49,44,56,44,39,54,54,59
"Matk",92,94,88,112,107,37,7,26
"Matr3",75,65,50,52,60,85,106,99
"Mau2",44,37,30,36,33,22,31,26
"Mavs",92,88,76,80,72,58,47,68
"Max",80,69,95,76,64,78,83,75
"Maz",14,20,10,19,18,9,10,9
"Mb21d1",117,52,113,61,124,59,57,78
"Mb21d2",2,2,1,5,4,7,2,2
"Mbd1",54,72,71,74,70,61,109,61
"Mbd2",55,61,91,67,61,83,75,64
"Mbd3",216,225,246,188,257,191,168,180
"Mbd4",29,24,33,31,25,28,33,28
"Mbd5",8,9,13,12,20,14,15,12
"Mbd6",88,100,126,127,83,99,58,57
"Mbip",22,23,22,27,19,22,32,22
"Mblac1",8,9,6,7,4,6,5,7
"Mblac2",8,13,11,12,8,8,10,8
"Mbnl1",278,276,114,254,347,240,243,213
"Mbnl2",47,30,23,34,64,61,69,65
"Mboat7",200,238,319,285,248,216,236,274
"Mbp",30,34,26,36,25,44,48,38
"Mbtd1",103,57,56,75,88,77,64,75
"Mbtps1",76,83,127,125,83,67,52,55
"Mbtps2",40,16,15,23,32,39,34,30
"Mcat",30,43,41,29,35,36,35,40
"Mccc1",18,20,20,24,21,22,29,27
"Mccc2",8,17,16,14,9,7,7,9
"Mcee",27,31,30,41,35,11,7,10
"Mcemp1",21,35,28,19,6,55,45,117
"Mcfd2",195,240,265,216,191,143,112,181
"Mcl1",461,366,375,389,360,735,413,586
"Mcm10",6,2,17,6,18,0,3,2
"Mcm2",40,34,74,27,64,9,13,15
"Mcm3",103,74,135,77,149,28,49,42
"Mcm3ap",26,43,33,33,34,28,52,41
"Mcm4",41,13,59,30,54,16,18,12
"Mcm5",81,47,153,49,145,16,30,22
"Mcm6",72,32,108,40,116,23,35,28
"Mcm7",89,62,147,87,116,30,18,26
"Mcm8",10,3,11,9,6,2,3,4
"Mcm9",13,21,17,13,17,20,39,26
"Mcmbp",110,117,120,96,101,154,181,145
"Mcmdc2",2,1,1,3,1,4,5,2
"Mcoln1",104,109,142,117,128,95,79,50
"Mcph1",14,8,5,4,5,7,11,4
"Mcpt8",0,0,0,0,0,3,0,0
"Mcrip1",98,141,131,139,95,133,94,94
"Mcrip2",47,35,49,40,46,51,70,69
"Mcrs1",18,20,37,27,18,39,38,28
"Mctp1",21,25,11,17,15,48,49,67
"Mcts1",110,72,50,77,89,49,67,69
"Mcts2",19,14,23,13,12,24,23,21
"Mcu",11,4,11,12,8,5,4,9
"Mcub",6,9,12,12,4,7,6,5
"Mcur1",55,62,71,53,51,42,47,45
"Mdc1",40,34,22,25,44,35,50,34
"Mdfi",21,12,47,26,31,12,19,11
"Mdfic",3,2,5,4,5,5,12,6
"Mdga1",3,5,5,7,1,5,8,3
"Mdh1",278,229,260,206,248,214,134,188
"Mdh2",193,179,195,182,156,234,250,246
"Mdk",14,35,32,32,29,24,46,29
"Mdm1",4,11,8,2,5,1,4,2
"Mdm2",104,77,74,80,73,99,126,92
"Mdm4",117,130,85,112,105,81,67,94
"Mdn1",20,29,18,12,17,15,27,37
"Mdp1",51,61,65,52,63,45,25,27
"Mdrl",0,0,0,0,0,2,5,1
"Me2",24,25,21,12,14,23,19,10
"Mea1",55,43,40,50,76,61,59,70
"Meaf6",48,44,62,41,65,21,31,41
"Mecp2",25,29,26,39,37,25,29,32
"Mecr",26,22,29,23,25,24,20,30
"Med1",59,68,56,49,68,50,91,87
"Med10",45,58,61,45,59,67,99,86
"Med11",69,68,75,67,74,53,48,49
"Med12",54,68,57,72,43,62,50,44
"Med12l",40,30,24,38,29,40,20,14
"Med13",22,20,11,30,40,18,30,34
"Med13l",85,92,92,121,92,77,90,71
"Med14",16,9,7,13,16,17,19,19
"Med15",48,55,52,47,40,74,111,80
"Med16",22,16,28,21,21,39,49,29
"Med17",47,35,34,41,35,34,36,46
"Med18",5,5,11,4,1,4,7,6
"Med19",14,20,18,14,16,15,20,23
"Med20",21,35,44,32,24,30,37,28
"Med21",11,19,9,17,25,10,22,26
"Med22",185,158,178,143,173,145,126,103
"Med23",34,19,33,41,21,25,31,28
"Med24",18,35,29,28,38,49,50,43
"Med25",115,96,105,89,116,114,121,120
"Med26",14,17,18,12,11,9,11,14
"Med27",30,25,28,37,30,44,54,39
"Med28",136,128,150,139,110,112,104,118
"Med29",10,13,10,10,13,16,9,13
"Med30",44,50,36,32,37,65,43,51
"Med31",20,17,12,17,12,29,22,18
"Med4",40,40,44,35,35,50,57,37
"Med6",50,34,21,28,42,50,64,41
"Med7",73,93,95,86,65,94,113,112
"Med8",91,95,107,94,83,150,163,148
"Med9",4,9,9,2,1,13,7,2
"Mef2a",306,316,271,345,283,306,213,261
"Mef2c",264,191,150,203,223,159,155,160
"Mef2d",140,176,192,148,138,155,178,119
"Mefv",1,2,4,1,2,0,2,3
"Meg3",10,2,3,9,4,8,9,2
"Megf11",2,2,2,0,5,0,1,0
"Megf8",24,28,27,28,24,14,17,17
"Meis1",5,6,9,3,3,8,2,3
"Meis3",51,61,51,43,57,47,85,58
"Melk",1,0,2,1,6,0,0,0
"Memo1",64,69,84,55,64,66,86,52
"Men1",18,40,31,30,36,21,22,23
"Meox1",4,2,7,7,2,1,1,0
"Mepce",95,92,104,93,97,107,119,109
"Mertk",813,752,678,977,1135,746,401,513
"Mesd",4,6,2,5,3,2,2,2
"Met",0,0,1,3,2,3,0,0
"Metap1",52,52,49,32,51,44,61,57
"Metap1d",124,109,105,93,100,105,92,111
"Metap2",108,91,74,78,86,83,122,125
"Metrn",34,24,47,28,50,38,34,47
"Metrnl",12,9,9,8,12,11,11,6
"Mettl1",83,111,85,47,62,68,114,120
"Mettl13",10,13,11,8,7,22,22,22
"Mettl14",21,16,17,11,11,20,19,17
"Mettl15",3,7,5,6,6,2,2,4
"Mettl16",4,6,7,9,4,4,8,15
"Mettl17",66,61,66,65,71,66,68,51
"Mettl18",17,9,10,11,10,12,7,10
"Mettl2",36,35,30,15,24,37,46,38
"Mettl21a",17,24,19,21,20,17,14,14
"Mettl22",20,20,33,13,21,33,35,25
"Mettl23",47,50,50,51,38,24,14,32
"Mettl25",8,8,11,13,8,13,15,10
"Mettl26",14,16,21,19,17,11,4,14
"Mettl27",0,2,1,2,6,3,4,4
"Mettl3",43,43,35,32,39,24,43,46
"Mettl5",24,31,21,30,35,26,23,29
"Mettl5os",2,1,3,1,5,0,2,1
"Mettl6",18,19,18,15,28,24,29,19
"Mettl7a1",31,46,51,60,50,32,9,11
"Mettl8",24,28,17,22,23,8,0,8
"Mettl9",37,24,37,37,40,25,30,30
"Mex3a",6,6,1,2,3,2,2,4
"Mex3b",8,17,13,32,17,12,16,14
"Mex3c",25,24,12,22,15,24,31,34
"Mex3d",8,20,19,17,11,18,11,9
"Mfap1a",5,5,2,2,5,5,4,4
"Mfap1b",15,11,8,10,15,18,20,21
"Mfap3",104,95,89,112,107,76,73,73
"Mfap3l",6,0,1,1,2,0,1,1
"Mff",69,72,74,83,62,101,92,83
"Mfge8",22,46,45,44,28,39,27,29
"Mfhas1",27,41,29,29,33,39,42,51
"Mfn1",8,11,6,8,6,12,7,10
"Mfn2",27,42,32,28,31,22,26,25
"Mfng",98,129,162,132,125,120,82,71
"Mfsd1",129,105,138,145,136,130,110,91
"Mfsd10",89,132,143,138,88,161,139,120
"Mfsd11",76,69,99,86,83,42,29,39
"Mfsd12",133,136,130,122,155,203,109,132
"Mfsd13a",22,18,25,25,23,17,4,15
"Mfsd14a",66,47,45,52,52,52,62,77
"Mfsd14b",42,52,58,57,44,34,36,39
"Mfsd2b",3,0,2,0,1,6,6,6
"Mfsd3",37,43,47,44,27,33,29,32
"Mfsd4b4",14,19,10,11,19,12,4,16
"Mfsd5",122,170,159,136,154,171,141,140
"Mfsd6",2,6,4,3,1,1,0,1
"Mfsd6l",3,2,1,4,0,3,34,13
"Mfsd7a",27,31,23,19,25,22,31,20
"Mfsd7b",13,9,11,3,11,14,20,14
"Mfsd8",29,24,21,17,21,34,43,26
"Mfsd9",2,6,3,5,5,6,5,3
"Mga",63,40,42,45,61,55,65,67
"Mgat1",163,201,234,193,179,177,125,137
"Mgat2",82,100,110,83,84,81,69,95
"Mgat4a",141,113,172,117,120,119,115,99
"Mgat4b",92,148,124,126,121,118,90,71
"Mgat5",17,19,21,32,12,20,13,11
"Mgea5",70,61,56,94,86,94,101,64
"Mgl2",0,0,4,0,1,1,0,0
"Mgll",81,47,77,58,85,45,57,29
"Mgme1",22,23,35,27,28,11,15,15
"Mgrn1",113,158,147,123,114,99,89,71
"Mgst3",12,13,14,14,7,8,3,2
"Mia3",150,193,141,172,142,147,176,148
"Mib1",27,25,13,27,24,21,31,28
"Mib2",88,75,70,81,119,57,44,35
"Mical1",35,35,34,32,40,97,68,32
"Mical3",14,19,13,12,13,13,8,9
"Micall1",8,11,16,9,9,13,22,10
"Micu1",31,23,30,37,30,31,41,28
"Micu2",47,45,30,50,64,51,68,69
"Micu3",13,7,2,2,9,12,10,6
"Mid1ip1",63,106,112,77,67,88,44,61
"Midn",95,95,66,55,77,110,74,95
"Mief1",23,16,13,15,14,26,41,27
"Mief2",20,16,11,15,20,6,19,14
"Mien1",99,133,115,95,144,104,155,164
"Mier1",74,54,51,69,91,65,61,62
"Mier2",89,100,112,75,101,76,68,72
"Mier3",18,15,12,12,20,14,24,20
"Mif",114,124,129,99,145,222,122,211
"Mif4gd",122,137,169,135,108,124,112,96
"Miga1",16,15,11,17,23,17,10,14
"Miga2",12,28,24,11,12,10,9,16
"Miip",102,113,103,125,116,156,103,88
"Milr1",128,142,112,117,97,183,446,304
"Mindy1",36,45,31,39,24,39,40,47
"Mindy2",139,128,123,146,149,129,107,111
"Mindy3",29,30,21,28,22,28,35,37
"Mink1",59,67,65,67,71,85,53,50
"Minos1",147,102,69,95,138,151,142,192
"Minpp1",12,26,35,18,17,19,25,18
"Mios",26,16,18,17,18,17,44,41
"Mipep",21,20,13,13,17,22,25,31
"Mipol1",2,5,3,9,5,3,1,3
"Mir142",39,43,28,38,47,58,42,51
"Mir142hg",257,315,219,221,180,265,249,261
"Mir146",1,2,2,0,0,0,3,0
"Mir17hg",10,4,2,7,6,12,10,7
"Mir1931",5,2,2,3,2,1,2,1
"Mir1938",0,1,1,0,0,2,0,2
"Mir22hg",21,15,17,17,12,36,57,29
"Mir3091",1,2,0,3,1,1,2,5
"Mir5114",1,2,2,1,0,1,2,6
"Mir5129",2,0,1,0,0,0,2,1
"Mir5130",5,1,1,4,6,1,1,6
"Mir5620",2,2,2,2,1,1,0,0
"Mir6236",4,2,2,2,5,12,30,19
"Mir692-1",0,3,2,2,162,2,2,1
"Mir703",219,243,307,402,226,275,199,274
"Mir7666",1,0,1,2,2,0,1,2
"Mir8114",11,4,0,4,3,2,0,9
"Mir99ahg",40,31,32,42,47,15,27,22
"Mirlet7b",0,2,0,2,2,2,5,2
"Mis12",40,39,31,22,40,36,38,34
"Mis18a",15,14,27,17,20,26,16,19
"Mis18bp1",5,3,3,4,8,2,7,5
"Mitd1",28,23,26,20,23,44,39,33
"Mitf",22,21,16,32,28,6,3,2
"Mki67",2,5,7,14,35,0,1,3
"Mkks",34,32,23,22,29,29,29,39
"Mkl1",69,83,76,69,71,84,74,67
"Mkl2",8,7,11,8,5,8,5,3
"Mkln1",118,91,81,107,134,140,178,140
"Mkln1os",3,5,2,7,1,5,2,6
"Mknk1",300,448,464,387,343,249,122,189
"Mknk2",66,82,62,78,76,55,38,42
"Mkrn1",86,70,89,86,74,122,92,89
"Mkrn2",2,5,3,4,1,2,2,2
"Mks1",21,38,30,29,28,24,22,14
"Mlec",152,159,142,170,167,95,65,68
"Mlf2",95,117,121,100,100,124,79,77
"Mlh1",26,32,28,22,20,45,27,27
"Mlh3",7,8,14,7,6,17,3,7
"Mlkl",5,3,0,1,6,1,4,3
"Mllt1",22,54,59,32,34,44,43,42
"Mllt10",60,51,50,51,62,34,40,44
"Mllt11",21,14,15,22,18,20,28,22
"Mllt3",3,3,4,7,12,2,2,2
"Mllt6",74,84,56,65,51,83,370,161
"Mlph",178,199,194,260,174,205,155,178
"Mlst8",22,26,37,20,24,24,31,18
"Mlx",59,63,62,41,44,57,82,73
"Mlxip",31,43,53,67,36,52,42,34
"Mlxipl",567,586,684,572,545,267,117,193
"Mlycd",40,56,53,46,47,66,58,63
"Mmaa",20,20,26,20,29,16,9,10
"Mmab",6,11,11,12,5,7,11,7
"Mmachc",7,7,10,6,7,14,13,15
"Mmadhc",31,35,42,23,31,43,62,54
"Mmd",18,12,11,16,19,8,12,6
"Mmgt1",25,17,8,15,29,33,26,23
"Mmgt2",57,50,51,56,43,23,20,22
"Mmp11",1,1,1,2,1,1,3,2
"Mmp14",222,256,249,224,244,259,862,625
"Mmp15",5,2,5,3,3,0,0,0
"Mmp19",12,14,16,25,15,40,19,32
"Mmp2",56,44,57,48,80,16,48,33
"Mmp23",3,2,2,2,5,1,1,0
"Mmp8",1,0,0,1,0,6,1,4
"Mmp9",1,0,1,1,0,5,1,6
"Mms19",113,96,120,129,127,85,75,81
"Mms22l",15,8,15,14,24,5,11,12
"Mn1",0,1,2,0,0,0,0,0
"Mnat1",14,12,29,9,21,23,20,22
"Mndal",0,0,0,1,1,1,1,2
"Mnt",38,55,74,62,61,55,45,35
"Mob1a",178,180,156,200,153,150,183,183
"Mob1b",7,9,2,2,9,5,7,6
"Mob2",48,38,44,50,47,71,53,43
"Mob3a",63,98,67,82,72,138,90,112
"Mob3c",69,69,79,67,48,68,83,71
"Mob4",60,50,47,67,57,78,59,60
"Mobp",1,1,3,1,1,2,4,2
"Mocos",3,2,3,0,5,2,1,4
"Mocs1",20,28,31,45,23,74,60,75
"Mocs2",37,17,23,37,26,52,61,54
"Mocs3",11,16,11,16,17,13,22,18
"Mogs",126,177,183,130,138,94,99,120
"Mok",5,1,1,3,1,3,3,1
"Mon1a",30,32,11,16,35,37,30,17
"Mon1b",14,14,17,16,7,16,11,16
"Mon2",130,136,129,152,114,115,77,87
"Morc2a",13,12,15,22,17,15,29,20
"Morc3",96,81,114,85,110,70,82,99
"Morf4l1",40,30,21,36,40,79,73,55
"Morf4l2",16,16,29,19,28,29,30,35
"Morn1",2,1,2,3,0,1,3,3
"Morn2",4,2,8,7,9,7,4,3
"Mospd1",6,6,1,3,10,3,4,4
"Mospd2",11,17,16,22,28,26,21,17
