Geneid	featureCounts on dataset 196: Counts	featureCounts on dataset 190: Counts	featureCounts on dataset 184: Counts	featureCounts on dataset 178: Counts	featureCounts on dataset 172: Counts	featureCounts on dataset 166: Counts	featureCounts on dataset 160: Counts	featureCounts on dataset 154: Counts	featureCounts on dataset 148: Counts
19944	1130	1352	1323	895	1749	1183	957	1099	1767
19946	1019	1181	783	657	796	539	656	732	755
19951	3244	3956	2638	2138	3382	2494	2798	2645	3346
19981	1953	2061	1494	1313	2146	1859	1728	1610	2093
19982	617	602	431	490	680	427	583	558	617
19988	841	863	638	531	692	442	475	636	746
19989	652	700	477	543	774	530	511	583	742
20005	2539	2738	1981	1406	2163	1956	1693	1843	2306
20014	819	996	715	1108	1500	1320	1237	1255	1337
20016	259	291	160	112	170	182	117	179	147
20017	57	60	26	12	16	26	40	26	37
20018	230	242	153	151	217	207	225	190	226
20019	187	368	139	59	90	127	174	88	118
20020	12	14	5	3	13	0	10	9	11
20021	119	206	120	65	146	184	149	113	127
20022	101	131	96	95	75	98	108	126	104
20024	268	349	153	151	157	161	158	177	166
20028	0	0	0	0	0	0	0	0	0
20042	2586	2548	2036	2203	3432	2770	2278	2470	3513
20044	4976	6388	5275	3459	5017	2927	3500	3778	5090
20054	3532	4186	3917	2536	3580	1871	2548	2966	4098
20055	1784	1943	1820	1158	1502	811	1044	1331	1755
20068	2098	2097	1673	1469	1491	1241	1223	1440	1669
20084	6495	7485	5597	4081	7152	4747	5177	5241	7098
20085	4766	5341	3781	3273	4592	3312	3414	3945	4631
20088	4017	4111	3072	2796	3420	1670	2564	3187	3352
20090	10392	8753	9461	8331	11968	5306	8032	9205	11939
20091	3790	4712	3370	1996	2969	1810	2456	2597	3402
20102	1350	1393	1050	754	790	372	575	864	946
20103	5235	5689	4546	2878	5092	4162	3975	3808	4990
20104	181	164	156	108	122	171	85	169	112
20111	646	691	502	876	1537	1669	1106	974	1484
20112	4	12	4	8	4	7	4	9	4
20115	1277	1603	1000	1059	1270	1146	1115	1147	1296
20116	5559	6523	5042	3962	6240	4623	4844	4885	6744
20128	413	460	301	543	409	228	198	467	300
20129	0	0	0	0	0	0	0	0	0
20130	91	87	63	89	174	147	123	121	172
20132	2	10	0	0	0	0	0	0	0
20133	56	84	45	86	83	119	98	99	89
20135	2	2	0	30	8	22	5	10	25
20147	0	0	0	0	0	0	0	0	0
20148	118	204	179	396	775	629	594	497	771
20163	95	128	112	134	191	214	140	156	209
20166	3	5	5	4	2	0	0	0	1
20167	6	34	0	3	11	5	0	3	0
20168	780	766	746	726	1188	993	1059	862	1157
20170	49	75	28	35	68	59	55	40	59
20174	68	93	62	40	71	88	69	61	58
20181	105	181	137	146	230	161	151	164	238
20182	175	250	283	200	313	227	227	231	307
20183	20	28	16	15	22	49	42	47	26
20184	163	319	144	133	147	130	149	135	155
20185	223	313	213	247	384	217	364	315	330
20186	0	0	0	0	0	0	0	0	0
20187	32	49	65	51	77	67	85	55	104
20190	0	1	0	0	0	0	0	0	1
20191	0	0	0	0	0	0	0	3	0
20192	0	1	0	0	0	0	0	0	0
20193	68	69	55	69	97	63	61	97	116
20194	82	42	113	14	25	30	30	22	40
20195	19	26	15	4	2	8	3	2	2
20196	136	126	83	127	162	121	124	165	143
20197	0	0	0	0	0	0	0	0	0
20198	41	24	45	37	12	29	26	22	21
20199	0	1	1	0	0	0	0	0	0
20200	45	16	38	9	5	13	12	17	19
20201	881	53	394	17	92	53	41	204	109
20202	1025	21	626	22	79	82	27	270	122
20203	8	21	4	5	3	1	3	4	10
20204	0	0	0	0	0	0	0	0	0
20208	2	4	1	0	0	0	0	0	0
20209	2	3	0	0	2	0	2	0	1
20210	10589	10532	2942	2161	11647	5237	5503	5757	10275
20211	2	0	0	0	0	0	0	0	0
20215	0	5	1	4	1	7	1	0	4
20216	0	0	0	0	0	0	0	0	0
20218	160	227	95	159	268	210	224	201	230
20219	0	0	0	0	0	0	0	0	0
20220	80	116	66	64	79	75	53	95	51
20222	124	205	96	57	69	63	88	53	79
20224	300	468	234	178	198	236	257	222	207
20226	265	336	198	191	165	96	158	246	195
20227	274	405	225	263	188	294	230	182	240
20229	198	250	255	198	271	206	185	221	268
20230	15	21	8	17	39	24	29	29	12
20231	0	0	0	0	0	0	0	0	0
20234	0	0	0	0	0	0	0	0	0
20238	7	14	16	40	81	27	45	31	64
