"baseMean","log2FoldChange","lfcSE","pvalue","padj","gene","significance"
219.700267998685,-2.45388163084007,0.226052999301999,7.50033888710822e-29,2.86486158562937e-26,"Mpi","Down in Mutant"
602.550054974845,-2.21382551750495,0.208235803526152,9.04959580891998e-28,3.22618090587997e-25,"Myo1f","Down in Mutant"
302.511426176114,-3.52598756494666,0.334723261166999,1.00627233493662e-27,3.47163955553134e-25,"Slc2a5","Down in Mutant"
320.048458303285,-1.86812102152227,0.176385266651522,2.90154244965076e-27,9.69749890594214e-25,"Tmem50b","Down in Mutant"
2983.64467707395,-2.310275147456,0.223424829836427,2.06159686423262e-26,6.68144801908117e-24,"Calr","Down in Mutant"
144.757303997842,-2.68499978702066,0.262375416801321,6.44279703749294e-26,2.02663865635256e-23,"C1rl","Down in Mutant"
1353.09082373637,-1.70359522663776,0.167417175979755,1.74886347655514e-25,5.19558191159922e-23,"Pbxip1","Down in Mutant"
2487.38653850486,-2.47598201802998,0.245865666749389,2.96767316580777e-25,8.57817959684164e-23,"Phyhd1","Down in Mutant"
630.615318470705,-2.25812769839508,0.22452124338688,3.56943062820207e-25,1.00460685706898e-22,"Csf3r","Down in Mutant"
2074.65234116836,-2.09181751712834,0.208750812328272,6.25508940513867e-25,1.71533797917841e-22,"Tmem176b","Down in Mutant"
216.701657809391,-1.85001975319739,0.184093957536481,6.84674119367841e-25,1.83064742665977e-22,"Madd","Down in Mutant"
431.301716955128,-2.07317043973918,0.209894566762242,2.27320124301979e-24,5.92972860831625e-22,"Tbxas1","Down in Mutant"
393.894419935717,-2.01782929399713,0.204468112706205,2.91316988330311e-24,7.41817902426827e-22,"Hebp1","Down in Mutant"
669.943359679645,-2.15953565195964,0.219576569377203,3.56941066105429e-24,8.87787139999432e-22,"Syngr1","Down in Mutant"
90.0676356447424,-2.83880329226458,0.28880623116173,4.4548843036034e-24,1.08284062788724e-21,"Nbeal2","Down in Mutant"
147.030902659307,-3.44837084079737,0.354949439922747,7.20378073595948e-24,1.71209855491304e-21,"Ggt5","Down in Mutant"
393.757730974079,-2.3150105330472,0.23884336850429,1.19955810983278e-23,2.72963276269394e-21,"Susd3","Down in Mutant"
899.44677506336,-2.09473127078488,0.22060073477257,1.04940755682612e-22,2.24468276405107e-20,"Pla2g15","Down in Mutant"
120.900071970498,-2.82296302486286,0.29844489373412,1.16237414738039e-22,2.43756696200653e-20,"Zcwpw1","Down in Mutant"
442.813981904473,-1.52273904472446,0.160538920489267,2.28609041008438e-22,4.61315791242499e-20,"Rap1gds1","Down in Mutant"
712.689151545623,-1.39348652731771,0.147765926075284,4.611862986183e-22,9.13405085874577e-20,"Tgfbr2","Down in Mutant"
247.762137856876,-2.68158190743777,0.289304156415783,4.80973883982466e-22,9.35275579853177e-20,"Plxdc1","Down in Mutant"
365.54353368941,-2.97960226911122,0.321870925168622,4.95577609779024e-22,9.4646473867619e-20,"Cryba4","Down in Mutant"
412.643543288016,-2.00340656549795,0.215101570993582,6.13848980185549e-22,1.15177453387446e-19,"Naaa","Down in Mutant"
74.4491113099046,-3.9705030265173,0.423142263326121,9.27525453533642e-22,1.68133639415971e-19,"Hacd4","Down in Mutant"
105.423951678959,-2.92426457713397,0.318030152493756,1.22265844546371e-21,2.17938867903907e-19,"Thrsp","Down in Mutant"
224.41550731731,-2.42833705133619,0.265261229677758,2.03506601051469e-21,3.51048886813785e-19,"Ppp1r9a","Down in Mutant"
1073.93487273981,-1.32353559069521,0.142724023767233,2.02998492520314e-21,3.51048886813785e-19,"Slc29a3","Down in Mutant"
1208.86011805907,-2.01388731013508,0.220102787028603,3.05971403162007e-21,5.09484044451368e-19,"Pdia6","Down in Mutant"
504.222410619047,-1.60253843609279,0.174472891560415,3.46719993389805e-21,5.6184398928848e-19,"Arhgap4","Down in Mutant"
395.670080187514,-2.74839073242296,0.304035199386085,4.28234054575266e-21,6.83576599057085e-19,"Col27a1","Down in Mutant"
5033.9075247434,-1.77612980108701,0.194967648195926,5.06928909250606e-21,7.96015825912181e-19,"Tmem119","Down in Mutant"
82.3472015068957,-4.14715562932323,0.456466848968245,7.58433553536177e-21,1.15877812215277e-18,"Tmem44","Down in Mutant"
76.7687575874305,-3.44776768629896,0.383645671425703,8.35130648771764e-21,1.25798905473437e-18,"Slc46a3","Down in Mutant"
474.697306875271,-1.58631512191098,0.175515329023958,1.39832526779733e-20,2.06240733116819e-18,"Tanc2","Down in Mutant"
1273.80090340709,-1.43049127876847,0.158636039154465,1.887044286112e-20,2.72728900540105e-18,"Pdia3","Down in Mutant"
68.7720166481604,-5.22360320805182,0.574615727181247,4.26888550012537e-20,6.00733295050538e-18,"Cbr2","Down in Mutant"
449.117189853968,-1.8395954772278,0.207981601630386,5.91072568853704e-20,8.20976769336412e-18,"Dhrs3","Down in Mutant"
2824.11092072203,-2.17461571294333,0.247780439011583,8.57982865111817e-20,1.17642650543216e-17,"Pld4","Down in Mutant"
379.747214136559,-2.18046156513955,0.251346545736792,1.93330903438558e-19,2.61730887629795e-17,"Arhgap22","Down in Mutant"
260.974772447097,-1.69284291430469,0.194491105495442,2.48713008158143e-19,3.32498202781417e-17,"Cdk5r1","Down in Mutant"
4514.2269311973,-1.59725670440732,0.183491673441448,2.57518091079383e-19,3.40019257295556e-17,"Ctsh","Down in Mutant"
222.595511155858,-1.85445422997112,0.215246130097211,4.39328472050311e-19,5.73002196168058e-17,"Sema4d","Down in Mutant"
