"baseMean","log2FoldChange","lfcSE","pvalue","padj","gene","significance"
47.2194560847845,-1.04193818603248,0.399055386779492,0.00130324508665872,0.00610789053541411,"Plekhg5","Down in Mutant"
468.554331040582,0.402400224120595,0.129077177097062,0.00130315776435281,0.00610789053541411,"Ndufs7","Not significant"
26.3789314143541,0.981726149186262,0.358284088178008,0.00130240681080219,0.00610789053541411,"Zfp202","Not significant"
83.9614921270277,0.62991279194942,0.211773534019483,0.00130674582037445,0.00611893456607037,"Thoc5","Not significant"
33.7741512773621,0.953404240541895,0.344658350817469,0.00130657716641403,0.00611893456607037,"Cast","Not significant"
16.6624973607222,1.18492165134791,0.448665999073819,0.00130943822419911,0.00612885855921642,"5730480H06Rik","Up in Mutant"
36.8479680890832,0.861208870810429,0.306811794884528,0.00131015077062048,0.0061295111512625,"Nabp1","Not significant"
107.821852737029,-0.626400516868633,0.212017435564773,0.00131516040431902,0.00614757015917481,"Hdac1","Not significant"
15.9938021988574,-1.87120654408861,0.855624745546888,0.00131465326342284,0.00614757015917481,"2700099C18Rik","Down in Mutant"
24.3880219809974,-1.25026788969427,0.506926997905684,0.00132502581378998,0.00618979407713197,"Dlg4","Down in Mutant"
117.595199615508,0.613174529914909,0.205536291324409,0.00132535095246678,0.00618979407713197,"Prkx","Not significant"
65.5059346970822,0.937702154189254,0.337780148963954,0.00132805897067001,0.0061997340424774,"Prmt7","Not significant"
69.5200687699346,0.915670195056255,0.328465121761473,0.0013317431705498,0.00621422042278803,"Rlim","Not significant"
149.789273193877,-0.602529751575353,0.203707332273049,0.00133471965645143,0.00622539325152552,"Rsu1","Not significant"
78.7531372005871,0.619595570486508,0.207995219371466,0.00133670073634442,0.006230505914038,"1110065P20Rik","Not significant"
5.99904348912829,1.84439435267285,0.773101430910563,0.00133698093246538,0.006230505914038,"Pear1","Up in Mutant"
79.5030769362229,0.970291011562749,0.352241321743622,0.00134231716881629,0.00625264900718217,"Thoc2l","Not significant"
51.4177692382238,0.742243207735189,0.257268735144329,0.001347871473525,0.00627578816253805,"Clp1","Not significant"
174.269412439827,-0.52881564520782,0.175397248534051,0.00135047782699753,0.00628518727577833,"Rnf145","Not significant"
154.353297587624,-0.713481870399449,0.248738590728187,0.00135202242971799,0.00628726789982059,"Nsd2","Not significant"
11.8606289824775,1.35379940790102,0.530292923469435,0.00135210062361733,0.00628726789982059,"Pus7l","Up in Mutant"
29.9899682300524,-1.079355137467,0.420060290364582,0.00135473352434913,0.00629677316076224,"D2hgdh","Down in Mutant"
727.831266352111,-0.438986957962858,0.142935327487555,0.00135822224670927,0.00631024627652286,"Aup1","Not significant"
122.550839095516,-0.63640587461108,0.216816858391295,0.00136280396018738,0.00632878347989753,"Naa35","Not significant"
40.5396718796655,-0.941002755739282,0.348566135510861,0.00136385663769496,0.00632899907146601,"Cyp51","Not significant"
56.0122642093268,0.853758696002387,0.303084508889006,0.00136403392797842,0.00632899907146601,"Snu13","Not significant"
75.3503813033061,0.753051132254347,0.261048819096311,0.00137862907695617,0.00639394535041032,"Tlr6","Not significant"
10.6126891367317,-1.80762893714644,0.789438017191784,0.00138418517723656,0.00641693128328784,"Fignl1","Down in Mutant"
75.2951908121499,-0.723985991164458,0.252697478894389,0.00139289729136134,0.00645172651845369,"Dolk","Not significant"
305.873398906643,-0.602562413681474,0.204768665165758,0.00139280193528399,0.00645172651845369,"Fuca2","Not significant"
27.9418720371139,0.940477103239835,0.342880913551299,0.00139590028829058,0.00646223339552003,"Bbs4","Not significant"
93.0357977719449,-0.695518004177522,0.24165418317265,0.00139637413530124,0.00646223339552003,"Wwc2","Not significant"
654.810632295364,0.515368346338129,0.169711515095873,0.00139698198461244,0.00646225014075693,"Ddx39b","Not significant"
246.029892667362,0.507723537667017,0.167071034550814,0.00140068738858483,0.00647658954643959,"Sar1a","Not significant"
91.8283554637199,-0.649599893863859,0.222344349988912,0.00140659048482289,0.0064982657603373,"E2f3","Not significant"
242.865057318614,0.597950703002694,0.200358729591181,0.00140636736469718,0.0064982657603373,"Tbk1","Not significant"
